pygame 2.3.0 (SDL 2.24.2, Python 3.9.15)
Hello from the pygame community. https://www.pygame.org/contribute.html
State dim:  152
Generating data...
Generating data for policy 1...
Generating data for policy 2...
Generating data for policy 3...
Generating data for policy 4...
Generating data for policy 5...



Baseline policy
Training model...
Epoch: 0 Training loss: 0.2147434949874878
Epoch: 1 Training loss: 0.21358981728553772
Epoch: 2 Training loss: 0.21241173148155212
Epoch: 3 Training loss: 0.21120595932006836
Epoch: 4 Training loss: 0.20996935665607452
Epoch: 5 Training loss: 0.20869867503643036
Epoch: 6 Training loss: 0.20739036798477173
Epoch: 7 Training loss: 0.20604078471660614
Epoch: 8 Training loss: 0.20464588701725006
Epoch: 9 Training loss: 0.20320144295692444
Epoch: 10 Training loss: 0.20170292258262634
Epoch: 11 Training loss: 0.2001453936100006
Epoch: 12 Training loss: 0.1985236406326294
Epoch: 13 Training loss: 0.19683212041854858
Epoch: 14 Training loss: 0.19506491720676422
Epoch: 15 Training loss: 0.19321604073047638
Epoch: 16 Training loss: 0.1912790685892105
Epoch: 17 Training loss: 0.18924759328365326
Epoch: 18 Training loss: 0.18711507320404053
Epoch: 19 Training loss: 0.18487530946731567
Epoch: 20 Training loss: 0.1825227290391922
Epoch: 21 Training loss: 0.18005305528640747
Epoch: 22 Training loss: 0.17746388912200928
Epoch: 23 Training loss: 0.1747555285692215
Epoch: 24 Training loss: 0.1719316989183426
Epoch: 25 Training loss: 0.16900095343589783
Epoch: 26 Training loss: 0.1659785807132721
Epoch: 27 Training loss: 0.1628895252943039
Epoch: 28 Training loss: 0.15977226197719574
Epoch: 29 Training loss: 0.1566821038722992
Epoch: 30 Training loss: 0.15369148552417755
Epoch: 31 Training loss: 0.15088088810443878
Epoch: 32 Training loss: 0.14830538630485535
Epoch: 33 Training loss: 0.14592646062374115
Epoch: 34 Training loss: 0.1435752958059311
Epoch: 35 Training loss: 0.14107687771320343
Epoch: 36 Training loss: 0.1384296864271164
Epoch: 37 Training loss: 0.13577759265899658
Epoch: 38 Training loss: 0.13323871791362762
Epoch: 39 Training loss: 0.13081370294094086
Epoch: 40 Training loss: 0.1284235119819641
Epoch: 41 Training loss: 0.12599465250968933
Epoch: 42 Training loss: 0.12351127713918686
